Rank,window,entry_threshold,exit_threshold,CAGR,Volatility,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Max_Drawdown,Total_Trades,Total_Cost_Cash,Total_Turnover
27,50,-2.0,-0.25,0.023973846156265965,0.07870606346095914,0.34034513666890615,0.49069720076276624,0.20157403526882084,11.893320548102459,11,1734.9835185261304,22.0
28,10,-1.5,-1.0,0.01870521321962748,0.0716395198394799,0.294437768663443,0.4378123059458412,0.15993926772863917,11.6951974866883,79,11105.452105235012,158.0
29,50,-2.0,-0.5,0.017604523732800637,0.0725098669209132,0.27696580381447755,0.39206268291771423,0.1491817493638767,11.800722144543672,12,1906.369259889957,24.0
30,10,-2.5,-1.0,0.002725521660546626,0.010131167232591855,0.27368021911454277,0.6245237532862514,0.19739693485823434,1.3807315004683478,1,141.1247781899653,2.0
31,10,-2.0,-0.25,0.012860715836253478,0.05471005913012573,0.2608961101762063,0.3831948259822975,0.11574059048667162,11.11167290764296,33,4581.791703633867,66.0
32,50,-2.5,-0.5,0.013919242551585942,0.06154100605773532,0.2553952982162097,0.36852377598030106,0.1775511194862566,7.839569016439441,6,910.7307445966158,12.0
33,10,-2.0,-0.5,0.01004149877599625,0.05448514105314787,0.2107373082121983,0.29230858723287806,0.08254640333930119,12.164671469356907,33,4580.199528968415,66.0
34,10,-2.0,-1.0,0.0003466529152940101,0.043845552151856135,0.02982306712349887,0.04205583503376807,0.003961893751083334,8.749677226937798,33,4564.017475789911,66.0
35,10,-2.5,-0.5,2.667487947505265e-05,0.009972737406039978,0.007627640674444798,0.013261889832160676,0.0019319382128968926,1.3807315004683478,1,139.83333767807272,2.0
36,10,-2.5,-0.25,-0.0033422538883547404,0.02015983305873157,-0.15597046334421474,-0.20903413204775104,-0.06035095471084856,5.538029852830056,1,138.24928012686988,2.0
